task,precision,recall,f1,number,accuracy,validation_corpus,validation_duration,language,corpus,subset,tokens,sentences,model_id,model_languages,model_corpora
PER,0.6576819407008087,0.7327327327327328,0.6931818181818182,333.0,,ner_study/corpora/hipe/HIPE-data-v1.4-test-fr.feather,0.901458,fr,hipe,HIPE-data-v1.4-test-fr,40854,43,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
overall,0.7783132530120482,0.8034825870646766,0.7906976744186047,,0.9633515377982179,ner_study/corpora/hipe/HIPE-data-v1.4-test-fr.feather,0.901458,fr,hipe,HIPE-data-v1.4-test-fr,40854,43,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
LOC,0.7172413793103448,0.7675276752767528,0.7415329768270945,271.0,,ner_study/corpora/hipe/HIPE-data-v1.4-test-en.feather,0.907173,en,hipe,HIPE-data-v1.4-test-en,16634,46,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
MISC,0.0,0.0,0.0,30.0,,ner_study/corpora/hipe/HIPE-data-v1.4-test-en.feather,0.907173,en,hipe,HIPE-data-v1.4-test-en,16634,46,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
ORG,0.184,0.22549019607843138,0.2026431718061674,102.0,,ner_study/corpora/hipe/HIPE-data-v1.4-test-en.feather,0.907173,en,hipe,HIPE-data-v1.4-test-en,16634,46,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
PER,0.45145631067961167,0.4696969696969697,0.46039603960396047,198.0,,ner_study/corpora/hipe/HIPE-data-v1.4-test-en.feather,0.907173,en,hipe,HIPE-data-v1.4-test-en,16634,46,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
overall,0.44021739130434784,0.5391014975041597,0.4846671652954375,,0.9308812350154961,ner_study/corpora/hipe/HIPE-data-v1.4-test-en.feather,0.907173,en,hipe,HIPE-data-v1.4-test-en,16634,46,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
LOC,0.8476190476190476,0.8476190476190476,0.8476190476190476,1365.0,,ner_study/corpora/kind/WN_test.feather,35.33742,it,kind,WN,56519,2088,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
MISC,0.0,0.0,0.0,0.0,,ner_study/corpora/kind/WN_test.feather,35.33742,it,kind,WN,56519,2088,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
ORG,0.8426590148254424,0.8430622009569378,0.842860559674719,2090.0,,ner_study/corpora/kind/WN_test.feather,35.33742,it,kind,WN,56519,2088,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
PER,0.9154411764705882,0.9576923076923077,0.9360902255639099,2340.0,,ner_study/corpora/kind/WN_test.feather,35.33742,it,kind,WN,56519,2088,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
overall,0.8728010825439784,0.8904227782571182,0.8815238746049373,,0.9823205390416201,ner_study/corpora/kind/WN_test.feather,35.33742,it,kind,WN,56519,2088,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
LOC,0.8146067415730337,0.8192090395480226,0.8169014084507042,177.0,,ner_study/corpora/kind/ADG_test.feather,8.775866,it,kind,ADG,13905,521,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
MISC,0.0,0.0,0.0,0.0,,ner_study/corpora/kind/ADG_test.feather,8.775866,it,kind,ADG,13905,521,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
ORG,0.7786885245901639,0.6129032258064516,0.6859205776173285,310.0,,ner_study/corpora/kind/ADG_test.feather,8.775866,it,kind,ADG,13905,521,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
PER,0.9269662921348315,0.9166666666666666,0.9217877094972067,360.0,,ner_study/corpora/kind/ADG_test.feather,8.775866,it,kind,ADG,13905,521,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
overall,0.850383631713555,0.7851239669421488,0.8164518109269491,,0.9830729820684113,ner_study/corpora/kind/ADG_test.feather,8.775866,it,kind,ADG,13905,521,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
LOC,0.7741935483870968,0.6857142857142857,0.7272727272727272,70.0,,ner_study/corpora/kind/FIC_test.feather,25.519664,it,kind,FIC,27190,1517,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
MISC,0.0,0.0,0.0,0.0,,ner_study/corpora/kind/FIC_test.feather,25.519664,it,kind,FIC,27190,1517,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
ORG,0.0,0.0,0.0,1.0,,ner_study/corpora/kind/FIC_test.feather,25.519664,it,kind,FIC,27190,1517,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
PER,0.9178082191780822,0.8463157894736842,0.8806133625410735,475.0,,ner_study/corpora/kind/FIC_test.feather,25.519664,it,kind,FIC,27190,1517,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
overall,0.8737864077669902,0.8241758241758241,0.8482563619227144,,0.9964013704370117,ner_study/corpora/kind/FIC_test.feather,25.519664,it,kind,FIC,27190,1517,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
LOC,0.9447513812154696,0.9325153374233128,0.9385934819897085,2934.0,,ner_study/corpora/nerkor/nerkor_validation.feather,114.379541,hu,nerkor,nerkor,103025,6752,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
MISC,0.7357664233576642,0.7671232876712328,0.751117734724292,1314.0,,ner_study/corpora/nerkor/nerkor_validation.feather,114.379541,hu,nerkor,nerkor,103025,6752,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
ORG,0.861996644295302,0.8950348432055749,0.8782051282051282,2296.0,,ner_study/corpora/nerkor/nerkor_validation.feather,114.379541,hu,nerkor,nerkor,103025,6752,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
PER,0.9500287191269385,0.9443334284898658,0.9471725125268432,3503.0,,ner_study/corpora/nerkor/nerkor_validation.feather,114.379541,hu,nerkor,nerkor,103025,6752,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
overall,0.8988353730754046,0.9064397332537075,0.9026215372416869,,0.989827566189926,ner_study/corpora/nerkor/nerkor_validation.feather,114.379541,hu,nerkor,nerkor,103025,6752,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
LOC,0.9488551518168243,0.95623275645849,0.9525296689569019,7974.0,,ner_study/corpora/sonar/sonar_validation.feather,151.998989,nl,sonar,SoNaR-1,150339,8993,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
MISC,0.8686457909719398,0.8600765049325548,0.8643399089529591,4967.0,,ner_study/corpora/sonar/sonar_validation.feather,151.998989,nl,sonar,SoNaR-1,150339,8993,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
ORG,0.8648648648648649,0.9014084507042254,0.8827586206896552,2982.0,,ner_study/corpora/sonar/sonar_validation.feather,151.998989,nl,sonar,SoNaR-1,150339,8993,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
PER,0.9445296523517382,0.9488957370313302,0.9467076607737638,3894.0,,ner_study/corpora/sonar/sonar_validation.feather,151.998989,nl,sonar,SoNaR-1,150339,8993,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
overall,0.9151897466706719,0.9224403290104456,0.9188007338342841,,0.9873993809436354,ner_study/corpora/sonar/sonar_validation.feather,151.998989,nl,sonar,SoNaR-1,150339,8993,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
LOC,0.9444444444444444,0.9473282442748091,0.9458841463414633,1310.0,,ner_study/corpora/finer/digitoday.2015.test.feather,58.903751,fi,finer,digitoday.2015.test,46363,3512,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
MISC,0.8093170153967627,0.8026624902114331,0.8059760172989974,2554.0,,ner_study/corpora/finer/digitoday.2015.test.feather,58.903751,fi,finer,digitoday.2015.test,46363,3512,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
ORG,0.890177690029615,0.9439937189217482,0.9162962022100851,3821.0,,ner_study/corpora/finer/digitoday.2015.test.feather,58.903751,fi,finer,digitoday.2015.test,46363,3512,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
PER,0.8307134220072552,0.8751592356687898,0.8523573200992557,785.0,,ner_study/corpora/finer/digitoday.2015.test.feather,58.903751,fi,finer,digitoday.2015.test,46363,3512,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
overall,0.869241347696539,0.8955135773317592,0.8821819027680856,,0.9794876299867131,ner_study/corpora/finer/digitoday.2015.test.feather,58.903751,fi,finer,digitoday.2015.test,46363,3512,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
LOC,0.7150259067357513,0.5348837209302325,0.6119733924611973,258.0,,ner_study/corpora/emerging/emerging.test.annotated.feather,21.592875,en,emerging,emerging.test.annotated.conll,23394,1287,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
MISC,0.5017064846416383,0.28994082840236685,0.36749999999999994,507.0,,ner_study/corpora/emerging/emerging.test.annotated.feather,21.592875,en,emerging,emerging.test.annotated.conll,23394,1287,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
ORG,0.4568345323741007,0.27608695652173915,0.34417344173441733,460.0,,ner_study/corpora/emerging/emerging.test.annotated.feather,21.592875,en,emerging,emerging.test.annotated.conll,23394,1287,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
PER,0.7094861660079052,0.37202072538860104,0.4881033310673011,965.0,,ner_study/corpora/emerging/emerging.test.annotated.feather,21.592875,en,emerging,emerging.test.annotated.conll,23394,1287,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
overall,0.6070866141732284,0.35205479452054794,0.44566473988439304,,0.9430898408936181,ner_study/corpora/emerging/emerging.test.annotated.feather,21.592875,en,emerging,emerging.test.annotated.conll,23394,1287,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
LOC,0.9237591411233858,0.9428299190090519,0.9331971078277272,6297.0,,ner_study/corpora/ontonotes/en_VALIDATION.feather,238.901048,en,ontonotes,VALIDATION_en,269914,14110,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
MISC,0.797760924521488,0.8313887843432443,0.8142277921120531,2657.0,,ner_study/corpora/ontonotes/en_VALIDATION.feather,238.901048,en,ontonotes,VALIDATION_en,269914,14110,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
ORG,0.8851674641148325,0.8961248654467169,0.8906124632254614,5574.0,,ner_study/corpora/ontonotes/en_VALIDATION.feather,238.901048,en,ontonotes,VALIDATION_en,269914,14110,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
PER,0.8978685612788633,0.9466292134831461,0.9216043755697357,4272.0,,ner_study/corpora/ontonotes/en_VALIDATION.feather,238.901048,en,ontonotes,VALIDATION_en,269914,14110,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
overall,0.8884350927984284,0.9140957446808511,0.9010827674802717,,0.9862867254027353,ner_study/corpora/ontonotes/en_VALIDATION.feather,238.901048,en,ontonotes,VALIDATION_en,269914,14110,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
LOC,0.8127335441218742,0.8747099767981439,0.842583625121061,6465.0,,ner_study/corpora/ontonotes/zh_VALIDATION.feather,110.841655,zh,ontonotes,VALIDATION_zh,119229,6543,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
MISC,0.6871987145152652,0.5882622650160477,0.6338932806324111,2181.0,,ner_study/corpora/ontonotes/zh_VALIDATION.feather,110.841655,zh,ontonotes,VALIDATION_zh,119229,6543,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
ORG,0.7164821648216482,0.7639344262295082,0.7394477943509997,3050.0,,ner_study/corpora/ontonotes/zh_VALIDATION.feather,110.841655,zh,ontonotes,VALIDATION_zh,119229,6543,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
PER,0.8675535846267554,0.9479890163140042,0.905989502933004,6191.0,,ner_study/corpora/ontonotes/zh_VALIDATION.feather,110.841655,zh,ontonotes,VALIDATION_zh,119229,6543,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
overall,0.8033648232671691,0.8462570581986918,0.8242533148193525,,0.9711104778962794,ner_study/corpora/ontonotes/zh_VALIDATION.feather,110.841655,zh,ontonotes,VALIDATION_zh,119229,6543,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
LOC,0.6199737187910644,0.6802191464821222,0.6487006737247353,3468.0,,ner_study/corpora/ontonotes/ar_VALIDATION.feather,22.049476,ar,ontonotes,VALIDATION_ar,36101,1220,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
MISC,0.6097169243123871,0.7550969666832422,0.6746640008885927,4022.0,,ner_study/corpora/ontonotes/ar_VALIDATION.feather,22.049476,ar,ontonotes,VALIDATION_ar,36101,1220,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
ORG,0.547976501305483,0.5125152625152625,0.5296529968454258,3276.0,,ner_study/corpora/ontonotes/ar_VALIDATION.feather,22.049476,ar,ontonotes,VALIDATION_ar,36101,1220,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
PER,0.7199261992619926,0.8341171440786661,0.772826302238067,2339.0,,ner_study/corpora/ontonotes/ar_VALIDATION.feather,22.049476,ar,ontonotes,VALIDATION_ar,36101,1220,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
overall,0.6199175824175824,0.6887447539107211,0.6525212362190493,,0.9253707601843064,ner_study/corpora/ontonotes/ar_VALIDATION.feather,22.049476,ar,ontonotes,VALIDATION_ar,36101,1220,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
LOC,0.6456904264837459,0.6603294021960147,0.6529278713244534,29508.0,,ner_study/corpora/wikiann/wikiann-cs_validation.feather,422.738341,cs,wikiann,wikiann-cs.bio,216379,25000,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
MISC,0.0,0.0,0.0,0.0,,ner_study/corpora/wikiann/wikiann-cs_validation.feather,422.738341,cs,wikiann,wikiann-cs.bio,216379,25000,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
ORG,0.6993268511593119,0.3742058131972585,0.4875346260387812,19989.0,,ner_study/corpora/wikiann/wikiann-cs_validation.feather,422.738341,cs,wikiann,wikiann-cs.bio,216379,25000,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
PER,0.815741717661954,0.8771157598584199,0.8453161899763841,22037.0,,ner_study/corpora/wikiann/wikiann-cs_validation.feather,422.738341,cs,wikiann,wikiann-cs.bio,216379,25000,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
overall,0.6073893306043192,0.6471607906729667,0.6266446477881855,,0.8365453873224972,ner_study/corpora/wikiann/wikiann-cs_validation.feather,422.738341,cs,wikiann,wikiann-cs.bio,216379,25000,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
LOC,0.6060879878014345,0.6068762723365755,0.6064818739227488,17684.0,,ner_study/corpora/wikiann/wikiann-it_validation.feather,421.968639,it,wikiann,wikiann-it.bio,204846,25000,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
MISC,0.0,0.0,0.0,0.0,,ner_study/corpora/wikiann/wikiann-it_validation.feather,421.968639,it,wikiann,wikiann-it.bio,204846,25000,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
ORG,0.4654426506278358,0.32678915394873315,0.38398258977149075,13498.0,,ner_study/corpora/wikiann/wikiann-it_validation.feather,421.968639,it,wikiann,wikiann-it.bio,204846,25000,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
PER,0.8148767386432357,0.8354730469034941,0.8250463721658954,27418.0,,ner_study/corpora/wikiann/wikiann-it_validation.feather,421.968639,it,wikiann,wikiann-it.bio,204846,25000,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
overall,0.6028677810346194,0.6493174061433447,0.6252310725876021,,0.8133224240511018,ner_study/corpora/wikiann/wikiann-it_validation.feather,421.968639,it,wikiann,wikiann-it.bio,204846,25000,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
LOC,0.7510717806460487,0.8178391332567777,0.7830347646306631,40058.0,,ner_study/corpora/wikiann/wikiann-hu_validation.feather,421.85344,hu,wikiann,wikiann-hu.bio,225045,25000,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
MISC,0.0,0.0,0.0,0.0,,ner_study/corpora/wikiann/wikiann-hu_validation.feather,421.85344,hu,wikiann,wikiann-hu.bio,225045,25000,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
ORG,0.69376026272578,0.3675111449385669,0.48048901840926866,18394.0,,ner_study/corpora/wikiann/wikiann-hu_validation.feather,421.85344,hu,wikiann,wikiann-hu.bio,225045,25000,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
PER,0.7938592477349684,0.803454823322373,0.7986282136856401,21593.0,,ner_study/corpora/wikiann/wikiann-hu_validation.feather,421.85344,hu,wikiann,wikiann-hu.bio,225045,25000,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
overall,0.6722142764269926,0.7104753576113436,0.6908154464730392,,0.8469529136640545,ner_study/corpora/wikiann/wikiann-hu_validation.feather,421.85344,hu,wikiann,wikiann-hu.bio,225045,25000,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
LOC,0.5822151224707135,0.6310746854438416,0.60566110895696,25989.0,,ner_study/corpora/wikiann/wikiann-pt_validation.feather,421.542031,pt,wikiann,wikiann-pt.bio,160570,25000,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
