task,precision,recall,f1,number,accuracy,validation_corpus,validation_duration,language,corpus,subset,tokens,sentences,model_id,model_languages,model_corpora
overall,0.7521497218007082,0.8342215988779804,0.7910626413086846,,0.9635682340142633,ner_study/corpora/conll/deu.testb.feather,50.960142,de,conll,deu.testb,51943,3005,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
LOC,0.9669926650366748,0.9567583912912004,0.9618483052135582,3307.0,,ner_study/corpora/conll/conll2003_en_validation_iob.feather,55.098483,en,conll,validation,51362,3250,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
MISC,0.9097888675623801,0.8848786558805227,0.897160883280757,1607.0,,ner_study/corpora/conll/conll2003_en_validation_iob.feather,55.098483,en,conll,validation,51362,3250,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
ORG,0.8971553610503282,0.9131403118040089,0.9050772626931567,2694.0,,ner_study/corpora/conll/conll2003_en_validation_iob.feather,55.098483,en,conll,validation,51362,3250,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
PER,0.9682487725040917,0.939047619047619,0.9534246575342467,3150.0,,ner_study/corpora/conll/conll2003_en_validation_iob.feather,55.098483,en,conll,validation,51362,3250,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
overall,0.9409330323551542,0.9299126231641569,0.9353903693314632,,0.9818527693002504,ner_study/corpora/conll/conll2003_en_validation_iob.feather,55.098483,en,conll,validation,51362,3250,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
LOC,0.8910944206008584,0.8535457348406988,0.8719160104986876,1946.0,,ner_study/corpora/conll/esp.testb.feather,25.913084,es,conll,esp.testb.txt,51533,1517,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
MISC,0.707843137254902,0.6149914821124361,0.658158614402917,587.0,,ner_study/corpora/conll/esp.testb.feather,25.913084,es,conll,esp.testb.txt,51533,1517,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
ORG,0.8450595924644367,0.9313559322033899,0.8861116710340657,2360.0,,ner_study/corpora/conll/esp.testb.feather,25.913084,es,conll,esp.testb.txt,51533,1517,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
PER,0.9551282051282052,0.9802631578947368,0.9675324675324676,1216.0,,ner_study/corpora/conll/esp.testb.feather,25.913084,es,conll,esp.testb.txt,51533,1517,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
