task,precision,recall,f1,number,accuracy,language,model,corpus,subset,validation_duration,tokens,sentences
LOC,0.39901477832512317,0.81,0.5346534653465347,100.0,,it,it_core_news_lg,kind,ADG,1.589768,13905,521
MISC,0.0,0.0,0.0,0.0,,it,it_core_news_lg,kind,ADG,1.589768,13905,521
ORG,0.7872340425531915,0.3231441048034934,0.45820433436532504,229.0,,it,it_core_news_lg,kind,ADG,1.589768,13905,521
PER,0.7352941176470589,0.7440476190476191,0.7396449704142012,168.0,,it,it_core_news_lg,kind,ADG,1.589768,13905,521
overall,0.5223880597014925,0.5633802816901409,0.542110358180058,,0.962891046386192,it,it_core_news_lg,kind,ADG,1.589768,13905,521
LOC,0.20118343195266272,0.918918918918919,0.33009708737864074,37.0,,it,it_core_news_lg,kind,FIC,4.116438,27190,1517
MISC,0.0,0.0,0.0,0.0,,it,it_core_news_lg,kind,FIC,4.116438,27190,1517
ORG,0.09090909090909091,1.0,0.16666666666666669,1.0,,it,it_core_news_lg,kind,FIC,4.116438,27190,1517
PER,0.7146974063400576,0.6048780487804878,0.6552179656538969,410.0,,it,it_core_news_lg,kind,FIC,4.116438,27190,1517
overall,0.4161764705882353,0.6316964285714286,0.50177304964539,,0.9711290915777859,it,it_core_news_lg,kind,FIC,4.116438,27190,1517
LOC,0.5014541288446286,0.6721795629060838,0.574399353926913,8465.0,,it,it_core_news_lg,wikiann,wikiann-it.bio,58.788813,204846,25000
MISC,0.0,0.0,0.0,0.0,,it,it_core_news_lg,wikiann,wikiann-it.bio,58.788813,204846,25000
ORG,0.580331976197933,0.23050130613260356,0.3299501424501425,8039.0,,it,it_core_news_lg,wikiann,wikiann-it.bio,58.788813,204846,25000
PER,0.8440748440748441,0.7076750070283947,0.7698801076584293,17785.0,,it,it_core_news_lg,wikiann,wikiann-it.bio,58.788813,204846,25000
overall,0.5725297229649013,0.5870395753740266,0.5796938672656846,,0.77884850082501,it,it_core_news_lg,wikiann,wikiann-it.bio,58.788813,204846,25000
